RGID,RGLB,RGPL,RGPU,RGSM
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_1_T1
HH2NLDSX5.3,lib1,illumina,HH2NLDSX5.3,PS1_2_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS1_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_6_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_7_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS1_8_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS1_10_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS1_11_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS1_12_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS1_13_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS1_14_T1
HH2NLDSX5.3,lib1,illumina,HH2NLDSX5.3,PS1_15_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS2_1_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_2_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_3_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_4_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_5_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_6_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS2_7_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_8_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_9_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_10_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_11_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS2_12_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_13_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS2_14_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_15_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_16_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS2_17_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_18_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_19_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_20_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_21_T1
